row	Weight.of.20.seeds	Average.cob.length	Average.cob.weight	Average.cob.width
3567	3.6	16.83333333	15.7	23.33333333
3569				
3571		14.6	20.32	25.58
3573	5.7	15.06	11.5	20
3575		11.32	7.54	20.22
3577	5	12.2	11.1	21.26666667
3579	6	14.53333333	12.33333333	18.63333333
3581	3.8	12.33333333	17.63333333	25.2
3583		14.38333333	11.96666667	20.85
4001	5.4	11.65	16.53333333	23
4003		16.8	24.06666667	25.15
4005	4.4	14.18333333	19.4	24.26666667
4007	6.6	10.96666667	13.5	22.06666667
4009		12.74285714	18.92857143	26.85
4011	4.2	13.88333333	15.63333333	22.63333333
4013	5.8	18.33333333	17.33333333	21.53333333
4015	3.5	11.54285714	8.066666667	20.11666667
4017	5.2	12.38333333	12.63333333	23.36666667
4019	4.4	11.28333333	14.66666667	24.93333333
4021	4.3	11.86666667	11.06666667	22.06666667
4023	6.3	19.1	17.7	21.5
4025				
4027	4.4	13.7	18.36666667	26.7
4029	3.9	16.98333333	16.6	22.03333333
4031	4.4	10.66666667	10.76666667	20.93333333
4033	3.2	11.38333333	12.7	21.03333333
4035	4.3	10.28333333	9.233333333	19.36666667
4037		12.98333333	9.433333333	18.4
4039		13.61666667	14.31666667	24.76666667
4041		13.65		
4043	3.4	13.66666667	6.233333333	24.16666667
4045		13.8		
4047	5.5	9.866666667	13.86666667	22.06666667
4049		12.5		
4051		11.98333333	9.533333333	19.46666667
4053		13.73333333	11.93333333	20.28333333
4055	4.7	16.61666667	18.06666667	22.43333333
4057		11.5	13.94	23.94
4059	5.4	10.88571429	10.725	21.45
4061		11.45		
4063		11.75		
4065		17.56666667		
4067		9.55	14.2	26.13333333
4069		12.08333333		
4071		12.55		
4073		8.55	3.975	21.975
4075		14.26666667		
4077	2.3	11.9	9.425	17.775
4079		19.26666667	16.33333333	22.73333333
4081		13.2		
4083		11.46666667		
4101		9.975	9.683333333	21.9
4103	4.8	14.03333333	16.5	23.33333333
4105	6.6	18.9	18.56666667	21.33333333
4107		8.975	3.725	19.225
4109	5.9	17.78333333	30.33333333	23.06666667
4111		16.22	14.96	22.34
4113	5.8	14.88333333	19.46666667	23.3
4115		13.26666667	17.13333333	28.45
4117	5.3	14.01666667	20.33333333	22.2
4119		10.03333333	7.3	22.03333333
4121		15.17142857	18.6	23.06666667
4123	5.3	13.18333333	14.73333333	22.83333333
4125	4.9	12	20.8	27.3
4127	3.3	17.31666667	16.63333333	22.43333333
4129		14.08333333	13.63333333	23.2
4131	4.9	11.5	6.833333333	22.33333333
4133	6.1	18.33333333	17.4	19.4
4135		11.33333333	15.75	24.45
4137		11.66	9.76	21.16
4139		10.4	8.5	25.15
4141	5.9	17.81666667	23.2	21.83333333
4143		16.85		
4145	6.9	12.13333333	15.86666667	26.4
4147	4.7	16.45	32.36666667	29.9
4149	5.6	18.63333333	23.33333333	24.9
4151	5	14.18333333	28.9	31.3
4153		12.64	8.65	19.7
4155	6.7	18.8	26.9	21.8
4157	6.7	14.55	8.766666667	21.66666667
4159		13.05	16.18333333	27.56666667
4161		12.56666667	22.78333333	32.31666667
4163		10.44	6.04	19.46
4165		9.44	5.36	21.3
4167	6.6	19.26666667	13.63333333	19.56666667
4169		13.7	10.35	23.025
4171	5	14.15	15.8	22.83333333
4173	4.4	15.38333333	26.76666667	26.63333333
4175	5.9	19.3	18.53333333	20.06666667
4177		16.06	11.84	18.74
4179	4.1	12.63333333	19.13333333	26.2
4181		12.16	10.58	21.56
4183	5.9	20.35	23.2	21.56666667
4201		10.8	11.56666667	25.46666667
4203	5.3	13.81666667	11.53333333	18.06666667
4205		11.18333333	18.03333333	24.55
4207		18.16666667		
4209		14.71666667	13.5	22.85
4211		10.63333333	15	20.53333333
4213		13.33333333	13.56666667	23.51666667
4215		12.78333333	22.66666667	26.46666667
4217	5.3	17.71666667	20.7	22.26666667
4219	5.4	16.36666667	20.4	22.3
4221	6.9	10.76666667	16.9	24.8
4223	3.8	14.23333333	20	28.6
4225	7.1	18.23333333	15.86666667	20.26666667
4227	4.6	14.06666667	20	23.43333333
4229	7.2	18.83333333	24.5	21.96666667
4231		9.666666667	10.41666667	22
4233	5.5	13.08333333	16.33333333	22.23333333
4235		10.55	7.6	19.23333333
4237	4.7	13.98	13.1	21.86666667
4239	4.9	18.68333333	18.46666667	20.16666667
4241	4.5	14.26666667	13.93333333	23.46666667
4243	5.7	12.08333333	20.36666667	24.6
4245	6.6	19.66666667	23.33333333	21.7
4247		11.2	6.95	19.725
4249		13.28571429		
4251		14.02857143		
4253		12.71666667		
4255		18.16666667		
4257		12.76	15.32	23.6
4259		11.9		
4261		13.7		
4263		14.83333333	30.48333333	29.9
4265		11.76666667		
4267	6.6	19.45	22.2	20.4
4269	4.4	11.16666667	6.033333333	18.9
4271		11.35	15.25	20.61666667
4273	6.1	18.15	15.73333333	19.9
4275	5.5	11.73333333	10.9	23.4
4277		12.13333333	10.91666667	23.31666667
4279	4.8	11.51666667	8.9	18.9
4281		12.65	14.8	24.41666667
4283		14.73333333		
4301	4.5	15.26666667	11.16666667	18.63333333
4303	4.6	18.28333333	15.1	20.16666667
4305	4.5	12.5	10.1	20.1
4307	6.4	17.625	14.55	20.55
4309	7.3	18.96666667	33.83333333	25.43333333
4311		13.01666667	21.35	28.38333333
4313	4.4	17.85	19.2	22.63333333
4315	5.5	14.82857143	16.525	24.3
4317		19.56	18.3	22.22
4319	5.2	10.91666667	4.766666667	18.93333333
4321		17.84	32.46	31.26
4323		7.666666667		
4325	4.1	12.23333333	8.933333333	17.16666667
4327	5.8	18.85	19.1	21.93333333
4329	4.7	15.21666667	15.86666667	22.33333333
4331	4.1	9.5875	8.9	24.05
4333	6.2	18.85	19.6	21.63333333
4335		12.5	4.12	21.7
4337		12.43333333	12.41666667	24.13333333
4339	5.2	13.61666667	13.56666667	20.13333333
4341		13.46666667	18.48333333	28.83333333
4343	7	13.16666667	17.8	22.63333333
4345		13.37142857	20.11428571	23.61666667
4347		10.52857143		
4349				
4351	5.9	12.33333333	17.33333333	23.73333333
4353	6.2		15.85	26.675
4355	6.1	16.48571429	12.625	20.425
4357		9.7		
4359	3.5	11.88333333	8.433333333	22.66666667
4361		9.842857143	11.64285714	21.4
4363		13.06666667	18.6	31.46666667
4365	3.1	14.73333333	14.2	20.23333333
4367	2.5	12.18333333	8.433333333	17.53333333
4369	4.9	16.02857143	14.95	22.925
4371	2.1	11.46666667	7.766666667	18.26666667
4373	6.1	13.24285714	17.6	22.8
4375	2.9	12.81428571	12.36666667	19.3
4377				
4379	3.3	14.75	10.66666667	19.1
4381		12.95	17.58333333	26.3
4383		12.6	10.38	22.36
4401	5.3	14.25714286	9.7	19.55
4403	4.8	15.35	9.3	19.86666667
4405		6.65	1.466666667	17.4
4407	6.3	17.35	18.03333333	20.56666667
4409	5.4	17.38333333	13.13333333	21.26666667
4411	4.9	11.81666667	14.96666667	22.83333333
4413	5.8	19.1	15.9	21.53333333
4415	6.1	10.7	6.533333333	19.3
4417	5.1	17.38333333	14.46666667	18.83333333
4419		11.2		
4421	5.8	14.7	16.43333333	24.9
4423	3.9	14.03333333	11.56666667	18.93333333
4425		10.05	8.283333333	19.31666667
4427	7.2	15.88333333	17.8	24.4
4429	3.8	10.47142857	13.76666667	23.5
4431	6.7	12.11666667	17.3	28.76666667
4433	6	17.8	16.23333333	20.1
4435	4.6	10.15	14.7	22.83333333
4437	5.8	12.41666667	12.13333333	21.06666667
4439	6.1	10.74285714	14.5	25.775
4441	5	13.88333333	24.36666667	28.53333333
4443	4.6	14.3875	22.83333333	26.73333333
4445	4.1	14.05714286	18.3	19.26666667
4447	5	14.7	13.33333333	22.4
4449		9.833333333	8.2	25.5
4451	6.4	18.76666667	19.16666667	21.06666667
4453	4.4	10.25	13.56666667	19.96666667
4455				
4457	5.8	11.375	14.25	25.525
4459	6.8	19.18333333	23.63333333	21.5
4461	4.2	8.425	6	21.53333333
4463	4	12.1	13.7	23.03333333
4465		13.25		
4467		12.63333333	16.36666667	25.2
4469	3.9	11.91428571	9.45	23.9
4471	3.9	16.0625	13.75	24.6
4473	6.8	16.11666667	17.6	19.33333333
4475	3.9	15.85	28.45	24.25
4477	4.1	12.86666667	9.833333333	18.6
4479		11.76666667	12.45	21.3
4481	3.8	16.1	13.28	20.04
4483		15.96	13.44	21.66
4501	5.5	16.68333333	11.8	18.83333333
4503		14.35		
4505		17.8		
4507		15.48333333		
4509		17.36666667		
4511	3	14.27142857	14.6	18.6
4513	3.5	10.65	9.766666667	21.2
4515		11.16666667	6.183333333	20.65
4517		19.31666667		
4519		11.2	14.8	25.64
4521	5.1	12.85	18.76666667	24.1
4523		13.02857143		
4525		10.63333333	8.833333333	23.4
4527		12.2		
4529		9.783333333	9.266666667	20.15
4531		11.175	8.375	20.15
4533		12.8		
4535		10.91666667	6.933333333	19.7
4537	7.9	11.28333333	14.33333333	21
4539	6.6	19.33333333	19.4	22
4541		18.4		
4543		12.73333333		
4545		15.37142857		
4547	5.6	11.4	15.6	23.1
4549	4.6	9.733333333	12.83333333	21.9
4551	5.3	12.84285714	14.075	24.475
4553		13.41666667		
4555		14.86666667		
4557	6.4	19.56666667	21.26666667	21.83333333
4559		9.328571429	5.06	18.9
4561	4.9	13.05	8.566666667	17.83333333
4563		13.06	10.3	21.93333333
4565		8.942857143	7.633333333	20.95
4567	2.8	11.4	8.22	19.04
4569		11.78571429		
4571	6.7	18.11666667	19.46666667	21.3
4573	5.4	16.37142857	17.95	24.25
4575		14.55	16.91666667	22.4
4577		11.31428571	16.71428571	28.25
4579	5.6	11.2625	17.475	26.325
4581	6.1	19.46666667	14.86666667	19.7
4583	3.9	11.43333333	5.333333333	18.03333333
